"";"network";"state";"site_name";"description";"start";"end";"latitude";"longitude";"elev";"county";"site_id";"date";"snow_water_equivalent";"precipitation_cummulative";"temperature_max";"temperature_min";"temperature_mean";"precipitation"
"1";"SNTL";"AZ";"baker butte ";"Pine Creek (150602030206)";1965-10-01;2019-10-24;34.46;-111.41;2225;"Gila";308;"1978-09-30";NA;NA;0;0;0;NA
"2";"SNTL";"AZ";"baker butte ";"Pine Creek (150602030206)";1965-10-01;2019-10-24;34.46;-111.41;2225;"Gila";308;"1978-10-01";NA;NA;0;0;0;NA
"3";"SNTL";"AZ";"baker butte ";"Pine Creek (150602030206)";1965-10-01;2019-10-24;34.46;-111.41;2225;"Gila";308;"1978-10-02";NA;NA;0;0;0;NA
"4";"SNTL";"AZ";"baker butte ";"Pine Creek (150602030206)";1965-10-01;2019-10-24;34.46;-111.41;2225;"Gila";308;"1978-10-03";NA;NA;0;0;0;NA
"5";"SNTL";"AZ";"baker butte ";"Pine Creek (150602030206)";1965-10-01;2019-10-24;34.46;-111.41;2225;"Gila";308;"1978-10-04";NA;NA;0;0;0;NA
"6";"SNTL";"AZ";"baker butte ";"Pine Creek (150602030206)";1965-10-01;2019-10-24;34.46;-111.41;2225;"Gila";308;"1978-10-05";NA;NA;0;0;0;NA
"7";"SNTL";"AZ";"baker butte ";"Pine Creek (150602030206)";1965-10-01;2019-10-24;34.46;-111.41;2225;"Gila";308;"1978-10-06";NA;NA;0;0;0;NA
"8";"SNTL";"AZ";"baker butte ";"Pine Creek (150602030206)";1965-10-01;2019-10-24;34.46;-111.41;2225;"Gila";308;"1978-10-07";NA;NA;0;0;0;NA
"9";"SNTL";"AZ";"baker butte ";"Pine Creek (150602030206)";1965-10-01;2019-10-24;34.46;-111.41;2225;"Gila";308;"1978-10-08";NA;NA;0;0;0;NA
"10";"SNTL";"AZ";"baker butte ";"Pine Creek (150602030206)";1965-10-01;2019-10-24;34.46;-111.41;2225;"Gila";308;"1978-10-09";NA;NA;0;0;0;NA
